"long","lat","locale"
"-155.622528","19.052137",1
"-155.725803","19.100167",1
"-155.757929","19.269226",2
"-155.152268","19.390023",4
"-155.820986","19.42818",2
"-154.883333","19.429722",1
"-155.250569","19.440523",1
"-155.21433","19.44072",2
"-155.26203","19.564519",12
"-155.034859","19.569277",1
"-155.032104","19.581873",9
"-155.948308","19.618904",2
"-155.005553","19.64372",2
"-155.10888","19.71175",1
"-155.10647","19.744309",1
"-155.919968","19.75682",6
"-155.698847","19.862157",2
"-155.123611","19.8875",2
"-155.148483","19.911689",2
"-155.6311","20.02608",1
"-155.507938","20.079156",2
"-155.776957","20.226101",1
"-155.830552","20.237312",2
"-155.83323","20.24232",1
"-156.058611","20.656667",1
"-156.425221","20.700766",1
"-156.02293","20.725172",3
"-156.44923","20.76591",16
"-156.324072","20.793521",2
"-156.320242","20.832664",2
"-156.134446","20.846705",1
"-156.136389","20.848611",3
"-156.165622","20.849675",3
"-156.325923","20.855864",2
"-156.343567","20.865497",1
"-156.685664","20.882139",1
"-156.462641","20.883783",7
"-156.510144","20.889457",1
"-156.448127","20.890176",1
"-156.309329","20.893966",1
"-156.216944","20.894444",4
"-156.61354","20.897296",19
"-156.566493","20.901536",8
"-156.373506","20.904275",2
"-156.2275","20.908333",1
"-156.386449","20.91393",1
"-156.690129","20.917291",3
"-156.375333","20.918136",2
"-156.377308","20.920239",1
"-156.697222","20.931667",2
"-156.689722","20.954167",2
"-156.67486","20.979883",2
"-156.68","20.98",1
"-156.667641","20.987769",1
"-156.666477","20.992616",2
"-156.639952","21.011687",1
"-157.012533","21.092266",3
"-156.761389","21.100278",2
"-157.257157","21.176357",1
"-157.832243","21.278846",1
"-157.705278","21.282778",1
"-157.801667","21.282778",1
"-157.829444","21.282778",4
"-158.091383","21.341784",5
"-157.724161","21.344082",4
"-158.01395","21.34455",14
"-157.72199","21.34546",5
"-157.927829","21.39065",4
"-158.015151","21.399548",2
"-157.7899","21.40877",11
"-157.76438","21.412278",1
"-157.756845","21.427761",1
"-158.181356","21.437389",6
"-157.840444","21.444119",1
"-158.062844","21.461446",2
"-158.06385","21.463",1
"-158.2175","21.469444",1
"-158.047735","21.5324",9
"-158.10682","21.5923",6
"-157.92324","21.64519",1
"-158.066111","21.648889",1
"-157.94072","21.68152",1
"-159.445139","21.87614",2
"-159.453889","21.876389",3
"-159.499342","21.930922",3
"-159.701949","21.962769",1
"-159.35766","21.967879",1
"-159.714507","21.970965",1
"-159.713792","21.971285",3
"-159.72023","21.97513",1
"-159.35479","21.97583",8
"-159.357919","21.988164",1
"-159.406197","22.074197",9
"-159.302546","22.104971",1
"-159.4025","22.14722",2
"-159.395386","22.207314",3
"-159.50072","22.20791",1
"-159.486562","22.219231",1
"-159.564722","22.224444",1
"-159.40266","22.22879",1
"-81.909735","24.561353",20
"-81.4423","24.6657",2
"-81.249423","24.687493",3
"-81.09035","24.71375",10
