lon	lat	type	loctype	address	north	south	east	west	postal_code	country	administrative_area_level_2	administrative_area_level_1	locality	street	streetNo	point_of_interest	query
-88.1389779	42.905848	locality	approximate	muskego, wi, usa	42.930118	42.8427061	-88.0694871	-88.1969318	NA	united states	waukesha county	wisconsin	muskego	NA	NA	NA	Muskego,WI
-70.2311655	44.0978509	locality	approximate	auburn, me, usa	44.1990701	43.973075	-70.1702968	-70.3160949	NA	united states	androscoggin county	maine	auburn	NA	NA	NA	Auburn,ME
-95.0949303	29.5074538	locality	approximate	league city, tx, usa	29.5549056	29.4277489	-94.9976339	-95.22547	NA	united states	galveston county	texas	league city	NA	NA	NA	League+City,TX
-83.2746567	42.8418574	locality	approximate	oxford charter township, mi, usa	42.8855359	42.7951039	-83.2174539	-83.336678	NA	united states	oakland county	michigan	oxford charter township	NA	NA	NA	Oxford,MI
-72.8676033	40.8014876	locality	approximate	shirley, ny, usa	40.8487817	40.7377716	-72.847516	-72.906554	NA	united states	suffolk county	new york	shirley	NA	NA	NA	Shirley,NY
-94.4154758	30.7752011	locality	approximate	woodville, tx 75979, usa	30.7967446	30.7536859	-94.40813	-94.440235	75979	united states	tyler county	texas	woodville	NA	NA	NA	Woodville,TX
-85.1393513	41.079273	locality	approximate	fort wayne, in, usa	41.199779	40.965447	-84.998627	-85.303173	NA	united states	allen county	indiana	fort wayne	NA	NA	NA	Fort+Wayne+,IN
-77.1538624	42.5986805	locality	approximate	branchport, ny 14418, usa	42.6068935	42.5904664	-77.137855	-77.1698698	14418	united states	yates county	new york	branchport	NA	NA	NA	Branchport,NY
-84.2338093	33.5442781	locality	approximate	stockbridge, ga, usa	33.572862	33.4786919	-84.15975	-84.292166	NA	united states	henry county	georgia	stockbridge	NA	NA	NA	Stockbridge,GA
-74.3647247	40.8200623	locality	approximate	east hanover, nj, usa	40.8495859	40.791424	-74.3256179	-74.41124	NA	united states	morris county	new jersey	east hanover	NA	NA	NA	East+Hanover,NJ
-83.8254829	39.7970043	locality	approximate	clifton, oh, usa	39.8005349	39.7932459	-83.82185	-83.829689	NA	united states	greene county	ohio	clifton	NA	NA	NA	Clifton,OH
-79.0954041	33.4702201	natural_feature	approximate	litchfield beach, south carolina 29585, usa	33.4795273	33.4609119	-79.0793967	-79.1114115	29585	united states	georgetown county	south carolina	NA	NA	NA	NA	Litchfield,SC
-71.5225598	41.4803791	neighborhood	approximate	kingston, south kingstown, ri, usa	41.4917299	41.454025	-71.5094221	-71.5368799	NA	united states	washington county	rhode island	south kingstown	NA	NA	NA	Kingston,RI
-73.1168393	41.4338203	locality	approximate	oxford, ct, usa	41.489424	41.3676958	-73.0773531	-73.2065252	NA	united states	new haven county	connecticut	oxford	NA	NA	NA	Oxford,CT
-79.1214313	33.4332236	locality	approximate	pawleys island, sc, usa	33.4478618	33.3988652	-79.1088986	-79.1394889	NA	united states	georgetown county	south carolina	pawleys island	NA	NA	NA	Pawley's+Island,SC
