"query","long","lat"
"Chester,AR","-94.265465","35.67603"
"Fredericksburg,PA","-76.434639","40.456193"
"Belle,WV","-81.502399","38.232406"
"Borderland,WV","-82.30835","37.721351"
"Kahana,HI","-156.68","20.98"
"Waynesville,OH","-84.0806","39.51812"
"Paw Paw,IL","-88.995749","41.69376"
"New Ulm,MN","-94.511407","44.259924"
"Hamlin,NY","-77.925097","43.321659"
"Hope,ID","-116.279202","48.248701"
"Kennett Sqaure,PA","-75.691591","39.826651"
"Fish Creek,WI","-87.209899","45.11038"
"Wellston,OK","-97.098322","35.634929"
"Denver Metro,CO","-105.020537","39.770206"
"Martinsville,OH","-83.796942","39.313796"
"Greenfield,PA","-80.362844","41.198947"
"Roselle,MO","-90.609439","37.623377"
"Bishops Head,MD","-76.067716","38.268179"
"Midvale,UT","-111.89994","40.61106"
"Bay City,MI","-83.953007","43.608773"
"Randolph,MA","-71.055602","42.171467"
"Spring Grove,MN","-91.635822","43.571029"
"BattleCreek,MI","-85.199745","42.312773"
"Charlestown Township,OH","-81.272936","41.115735"
"Woodstock,GA","-84.481787","34.127398"
"Ephraim,WI","-87.171024","45.159184"
"Ilwaco,WA","-123.999449","46.317185"
"Lakewood,CO","-105.115977","39.744773"
"Camp Douglas,WI","-90.239261","43.988481"
"Big Sky,MT","-111.36829","45.28465"
"Ayrshire,","-4.5","55.5"
"Gobles,MI","-85.859198","42.357819"
"Estherville,IA","-94.737792","43.377886"
"Smithton,IL","-89.99205","38.40866"
"Cleveland,TX","-94.978471","30.343114"
"Brookhaven Hamlet,NY","-72.933571","40.772475"
"Deerfield,MA","-72.607679","42.54723"
"Piedmont,CA","-122.231635","37.824372"
"Hammon,OK","-99.381869","35.630294"
"Heber City,UT","-111.348882","40.517678"
"Elizaville,KY","-83.718626","38.3481"
"Malden Bridge,NY","-73.58289","42.47064"
"Fleetwood,NC","-81.508408","36.330187"
"Paguate,NM","-107.364","35.13548"
"Clark,WY","-109.08775","45.061726"
"Plumsteadville,PA","-75.142522","40.38805"
"Pulaski,TN","-87.015664","35.217373"
"Bishop,WV","-81.560108","37.208448"
"Arcadia,KS","-94.697518","37.601241"
"Rothschild,WI","-89.62012","44.88719"
"Sisters,OR","-121.509124","44.31648"
"LeClaire,IA","-90.675682","41.654727"
"Cadiz,OH","-81.030687","40.263163"
"Columbia,CT","-72.300043","41.696124"
"Ansonia,CT","-73.070301","41.342514"
"Stonington,PA","-76.671072","40.85203"
"Lake in the Hills,IL","-88.320768","42.203618"
"Palermo,NY","-76.282431","43.365069"
"Roselle,IL","-88.14259","41.977726"
"Little River,SC","-78.63938","33.87853"
"Tryon,OK","-96.962261","35.875943"
"Del Norte,CO","-106.407311","37.644684"
"Philadelphia area,PA","-74.979768","40.141501"
"Bristol,CT","-72.939577","41.681198"
"Sandy Springs,GA","-84.378538","33.924269"
"Savanna,IL","-90.15679","42.09447"
"Bellows Falls,VT","-72.44398","43.13341"
"Wynnewood,PA","-75.27074","40.00289"
"Gainsville,FL","-85.382005","30.726481"
"Bodega Bay,CA","-123.048629","38.367894"
"Riverwoods,IL","-87.897014","42.167525"
"Rushville,NY","-77.242693","42.734157"
"South Lake Tahoe,CA","-120.039632","38.927507"
"Dade City,FL","-82.212104","28.416397"
"Upper Dublin,PA","-75.204464","40.375008"
"Mascoutah,IL","-89.983521","38.439983"
"Sparta,NC","-81.140955","36.495157"
"Hulett,WY","-104.661438","44.675348"
"Warren,MI","-82.995121","42.474786"
"Countryside,IL","-87.878114","41.782809"
"Topsfield,MA","-70.954487","42.661793"
"Rainier,OR","-122.972651","46.038342"
"Leavenworth,WA","-120.799413","47.695101"
"Kennedy Space Center,FL","-87.314059","30.919409"
"Gallatin,TN","-86.449479","36.401201"
"Kingsville,TX","-97.84068","27.422876"
"Ojo Caliente,NM","-108.968418","34.916702"
"Fairview,VA","-77.097783","38.755748"
"Wirral, Cheshire,","-2.583333","53.166667"
"Baldwin,FL","-81.975387","30.302738"
"Anna,IL","-89.163042","37.474268"
"Burkeville,VA","-78.182733","37.190922"
"Nassau,NY","-73.61012","42.51591"
"Rough and Ready,CA","-122.269171","38.037"
"West Monroe,LA","-92.172926","32.565664"
"Harrison,MI","-82.821517","42.587734"
"Pattonville,TX","-95.39217","33.57927"
"Bayonne,NJ","-74.109486","40.670858"
"Ruggles Beach,OH","-82.475169","41.381992"
"Kennedale,,TX","-97.22585","32.6468"
"Smithville,MO","-94.473232","39.38706"
"Westerville,OH","-82.896457","40.10447"
"Windsor County,VT","-72.433842","43.535363"
"Hiram,GA","-84.76216","33.87566"
"Oakland,OR","-123.414079","43.503232"
"Greenwood,MO","-94.281453","38.86436"
"Cincinnati,OH","-84.53822","39.166759"
"Beatrice,NE","-96.693082","40.313364"
"Strawberry,CA","-120.209674","38.766036"
"Olympic National Park,WA","-122.735314","47.693975"
"Hamburg,WI","-89.88513","45.090523"
"Scenery Hill,PA","-80.099457","40.092344"
"Claremont,NC","-81.12693","35.730213"
"Minneola,FL","-81.74619","28.57444"
"Augusta,MT","-112.513362","47.444053"
"Gibralter,MI","-83.191408","42.094829"
"Covington,WA","-122.122155","47.358182"
"Kaimuki,HI","-157.801667","21.282778"
"Morganfield,KY","-87.943938","37.686939"
"East Elmhurst,NY","-73.869969","40.762741"
"Crumrod,AR","-91.091192","33.986205"
"Kehei,HI","-156.425221","20.700766"
"Aberdeen,WA","-123.81572","46.97537"
"Okarche,OK","-97.97746","35.732016"
"Webster,MN","-93.382574","44.500341"
"Carneys Point,NJ","-75.470196","39.711225"
"Shirley,AR","-92.31932","35.65619"
"Camanche,TX","-98.621716","31.893024"
"Mayfield,KY","-88.651839","36.715599"
"Tiburon,CA","-122.456639","37.873538"
"Lindale,TX","-95.400598","32.506185"
"Mt. Gilead,OH","-82.83865","40.558977"
"Duncanville,TX","-96.911882","32.66066"
"Baker,LA","-91.080373","30.51589"
"South Yarmouth,MA","-70.2005","41.66861"
"San Geronimo,CA","-122.66309","38.00659"
"Lewisburg,TN","-86.792003","35.504165"
"Crawley,WV","-80.611705","37.918876"
"North Massapequa,NY","-73.462069","40.700934"
"Atlanta,IN","-86.02637","40.21532"
"Sunset Beach,NC","-78.51223","33.88073"
"Mt. Lassen,CA","-118.04586","33.838969"
"Pembrook Pines,FL","-80.149749","25.996489"
"Darien,WI","-88.7076","42.60168"
"Camden,NY","-75.74796","43.33451"
"Montcalm,WV","-81.251807","37.35391"
"Farmers Branch,TX","-96.896115","32.926514"
"Cave Creek,AZ","-112.18717","33.276539"
"South Palm Beach,FL","-80.038652","26.588958"
"Huger,SC","-79.784137","33.043929"
"Quincy,CA","-120.95478","39.93103"
"Boone,IA","-93.904897","42.0425"
"San Juan,CA","-123.9216","40.327711"
"Starke,FL","-82.179651","29.928149"
"Ft. Riley,KS","-96.837821","39.113738"
"Mollusk,VA","-76.578109","37.75028"
"Troutville,VA","-79.87476","37.41819"
"Weirton,WV","-80.58952","40.41896"
"Windham,CT","-72.137843","41.693914"
"Vienna,WV","-81.538034","39.324924"
"Havertown,PA","-75.312081","39.974861"
"Payson,AZ","-111.305069","34.194999"
"Muskegon County,MI","-86.252634","43.23683"
"East Dublin,GA","-82.943064","32.493414"
"Braceville,OH","-80.954535","41.22839"
"Lola,KS","-100.216527","39.957783"
"McDermott,NV","-117.725418","41.998179"
"South Haven,MI","-86.27364","42.40309"
"Ainsworth,NE","-99.852364","42.542734"
"Loudoun County,VA","-77.231102","38.765546"
"Wakeman,OH","-82.417989","41.211052"
"Paradise Valley,AZ","-111.94265","33.53115"
"South Euclid,OH","-81.518455","41.523108"
"Grove city,OH","-83.09296","39.88145"
"Arlee,MT","-114.024625","47.220055"
"Upper Marlboro,MD","-76.786093","38.816171"
"Saratoga Springs,NY","-73.78457","43.08313"
"Anderson,CA","-122.278404","40.469324"
"Voorheesville,NY","-73.980441","42.620654"
"Atlanta,GA","-84.47405","33.844371"
"Perdido Key,FL","-87.427477","30.300201"
"Grand Coulee,WA","-119.00335","47.94154"
"Owenton,KY","-84.843115","38.493552"
"Marin County,CA","-121.806577","36.680918"
"Ft. Gibson,OK","-95.364078","35.726979"
"Glenburn,ME","-68.847259","44.910624"
"Shirley,MA","-71.65859","42.53978"
"Hemet,CA","-116.963506","33.667301"
"Valhermoso Springs,AL","-86.687136","34.541985"
"Lino Lakes,MN","-93.088832","45.160244"
"Bradford,MA","-71.075891","42.769535"
"Hagerman,NM","-104.356588","33.101546"
"Dale Hollow Lake,KY","-83.230482","37.144734"
"Ionia,MI","-85.090548","42.973427"
"Athens,OH","-82.013803","39.339279"
"Sleepy Hollow,NY","-73.858468","41.085652"
"Mantua,OH","-81.229924","41.282355"
"Woodland Park,CO","-105.113586","39.019995"
"Afton,TN","-82.73876","36.19399"
"Morristown,TN","-83.261343","36.188826"
"Redmond,OR","-121.266414","44.268862"
"Simpson,PA","-75.485184","41.59175"
"Moscow,PA","-75.538602","41.321625"
"Clarklake,MI","-84.369085","42.119607"
"Gallup,NM","-108.737949","35.534983"
"Dayton,NJ","-74.494889","40.372306"
"Bridgewater,SD","-97.469058","43.550264"
"San Pablo,CO","-105.418718","37.202995"
"Passaic,NJ","-74.126916","40.855103"
"Polk City,IA","-93.698063","41.75673"
"Windsor,NC","-76.936954","36.039911"
"Cleveland,MS","-90.725595","33.758855"
"Madison,VA","-78.297605","38.369952"
"Saint Augustine,FL","-81.314517","29.894691"
"Sisterdale,TX","-98.720862","29.972992"
"Wellington,CO","-105.085627","40.795455"
"Enid,OK","-97.843091","36.402681"
"Lavale,MD","-78.822453","39.644399"
"Fairless Hills,PA","-78.680619","41.673232"
"Little Gasparilla Island,FL","-80.253998","25.715633"
"Elizabethtown,KY","-85.878391","37.684807"
"Sanders,AZ","-109.33371","35.21641"
"Goodland,MO","-91.001795","37.636158"
"Lower Burrell,PA","-79.75727","40.553123"
"Manasota Key,FL","-82.35204","26.92534"
"Frankford,DE","-75.157634","38.55144"
"Coshocton,OH","-81.864066","40.300934"
"Kamas,UT","-111.312427","40.667933"
"Peach Tree City,GA","-84.567917","33.422674"
"Salem,WV","-80.49102","39.245329"
"Huntington Beach,CA","-117.999227","33.660297"
"Conway,NC","-77.22886","36.4371"
"Bolivia,NC","-78.172242","34.017181"
"Eden,WI","-88.36094","43.6936"
"Oconto Falls,WI","-88.125829","44.901999"
"Dania Beach,FL","-80.143934","26.052311"
"Suffolk,VA","-76.553061","36.874916"
"Lake Balboa,CA","-117.80481","33.675806"
"Clarksville,IN","-85.912482","40.03226"
"Granada Hills,CA","-118.507001","34.294615"
"Glasco,KS","-97.83825","39.36117"
"Glidden,IA","-94.72887","42.05554"
"Woodbine,GA","-81.703469","30.939072"
"Good Year,AZ","-112.365336","33.429437"
"Verde Valley,AZ","-110.988439","31.871306"
"Mt. Savage,MD","-76.775133","38.870298"
"Austin,AR","-91.9832","35.001906"
"Upshire Essex,","0.3665169","51.7816441"
"Yankeetown,IN","-87.297782","37.917546"
"South Glens,NY","-78.927853","42.49776"
"West Tawakoni,TX","-96.029414","32.893733"
"Rockland County,NY","-76.900233","42.741529"
"North Chesterfield,VA","-77.401862","37.218599"
"Wildomar,CA","-117.28004","33.59891"
"Ramseur,NC","-79.646945","35.714279"
"West Tisbury,MA","-70.642806","41.42125"
"Cameron,NC","-79.347244","35.310584"
"Guntersville,AL","-86.27518","34.344851"
"Vincennes,IN","-87.417306","38.707231"
"Falconer,NY","-79.182837","42.126604"
"Nederland,CO","-105.51083","39.96138"
"Hanalei Beach,HI","-156.510144","20.889457"
"Captiva Island,FL","-82.192066","26.516908"
"Bernville,PA","-76.11216","40.43343"
"Jenkins,KY","-82.651342","37.191103"
"Mansfield,TX","-97.14168","32.56319"
"Edgewood,NM","-106.19141","35.06144"
"Titusville,FL","-80.807554","28.612219"
"Dunellen,NJ","-74.463947","40.589702"
"Clarks Summit,PA","-75.681992","41.463694"
"Monte Rio,CA","-123.01364","38.46713"
"Hama Hama River,WA","-122.646602","47.620114"
"Doyline,LA","-93.411","32.53571"
"Stoney Creek Metropark ?,MI","-83.653373","42.150327"
"Los Angeles County,CA","-118.246183","34.047247"
"Monroe,UT","-112.126117","38.657847"
"Fitchburg,WI","-89.387108","43.036157"
"Coal Creek,CO","-105.14832","38.36111"
"Rochester,IN","-86.254272","41.040988"
"Miller,MO","-93.847381","37.229699"
"Fayetteville,WV","-81.094259","38.063982"
"Harkers Island,NC","-76.5587","34.69938"
"DeKalb,IL","-88.75036","41.92947"
"Glenallen,AK","-145.7711","62.12802"
"Gateshead,","-1.6056016","54.9540896"
"Augusta Springs,VA","-79.31809","38.10207"
"Webb,IA","-95.013216","42.967221"
"Lewisville Tx,TX","-96.982421","33.007179"
"Pens and Panama,FL","-83.355159","30.596759"
"Phippsburg,ME","-69.810821","43.789616"
"Northport,AL","-87.581612","33.270519"
"Eagle Mountain,UT","-111.872684","40.409121"
"Tunbridge,VT","-72.473372","43.895465"
"Mayer,AZ","-112.163493","34.414534"
"Jonestown,PA","-79.973662","40.129516"
"Cottonwood Lakes Trail,CA","-122.199927","40.368264"
"White Mountains,AZ","-110.167135","34.258753"
"Piner,KY","-84.535774","38.831454"
"Harriman State Park,NY","-74.080319","41.322299"
"James Island,SC","-80.690052","32.426778"
"Palm Bay,FL","-80.600412","28.031367"
"Eureka,IL","-89.27286","40.72143"
"Shropshire,","-2.75","52.666667"
"Childress,TX","-100.236376","34.4104"
"American Fork,UT","-111.803101","40.395796"
"McKean Twp.,PA","-75.237611","40.244976"
"Selma,NC","-78.244459","35.563572"
"West. Simsbury,CT","-72.849854","41.865597"
"Jeanerette,LA","-91.724248","29.936497"
"Vergennes,VT","-73.260487","44.145691"
"Lakeside,OR","-124.122749","43.583767"
"Surfside Beach,SC","-79.113015","34.199275"
"Lannon,WI","-88.164427","43.153279"
"Horton,MI","-84.479081","42.131129"
"Iron Mountian,MI","-88.063768","45.82026"
"Park Valley,UT","-113.523193","41.808234"
"Ryan,OK","-97.954867","34.021911"
"Bridgeport,CT","-73.363661","41.308873"
"Mulberry,FL","-81.97342","27.8953"
"Worden,MT","-108.011128","46.091269"
"Lovingston,VA","-78.859153","37.753"
"Harrington,WA","-118.254439","47.478233"
"Shady Side,MD","-76.52306","38.82793"
"Davenport,WA","-118.122173","47.712295"
"Red Hook,NY","-73.809608","42.002775"
"Delta,LA","-90.92705","32.3257"
"Markham,VA","-79.241687","36.879305"
"Ridgefield,CT","-73.494637","41.308201"
"West Houston,TX","-95.287015","29.84405"
"San marcos,TX","-97.997166","29.972907"
"Palestine,IL","-87.604191","39.000528"
"Odd,WV","-81.190678","37.596319"
"Custer,WA","-122.625235","48.941068"
"Bangs,TX","-99.13255","31.7171"
"Edmonton,KY","-85.609522","37.000783"
"Carolina beach,NC","-77.895702","34.035151"
"Interstate 75,FL","-81.98008","28.067003"
"Burke,VA","-77.288755","38.831813"
"Bellefonte,DE","-75.509365","39.766225"
"Farmington,AR","-94.24715","36.04202"
"Rancho Bernardo,CA","-117.060866","33.018655"
"Kirksville,MO","-92.609514","40.165717"
"Ferndale,MI","-83.140675","42.460586"
"Little Ferry,NJ","-74.04208","40.85288"
"Paterson,NJ","-74.170965","40.911999"
"Odessa,TX","-102.354346","31.765163"
"Orange County,NC","-79.121918","36.080952"
"Cumberland,ME","-70.347608","43.681478"
"North Conway,NH","-71.12485","44.05246"
"North Tarrytown,NY","-73.853178","41.090537"
"Cajah's Mountain,NC","-81.421657","35.827169"
"Rensselaer,NY","-73.7429","42.64258"
"Enterprise,WV","-81.369564","39.007025"
"Georgetown,KY","-84.574498","38.239718"
"Rayland,OH","-80.69119","40.18257"
"Barrington,RI","-71.320395","41.742501"
"Johnston,IA","-93.732559","41.714435"
"Cerrillos,TN","-88.874431","35.15133"
"Mesa,AZ","-111.82264","33.422269"
"Little Fork,MN","-93.612836","48.357144"
"Truman Lake area,MO","-90.407839","38.342069"
"Three Points,AZ","-111.217549","32.109356"
"Holtsville,NY","-72.637078","40.922326"
"Port Orford,OR","-124.45094","42.703155"
"Louisville,MS","-89.068098","33.101687"
"Russells Point,OH","-83.89272","40.47116"
"Adair County,IA","-94.641202","41.503301"
"East Dover,VT","-72.812012","42.968046"
"Gardners,PA","-77.193663","40.017772"
"Quinby,VA","-75.74122","37.542324"
"Nevada,TX","-96.428356","33.073224"
"Parkersburg,WV","-81.55477","39.286315"
"La Pine,OR","-121.565187","43.692193"
"West Mifflin,PA","-79.898389","40.362505"
"Rudolph,WI","-89.795501","44.474097"
"Woodson,IL","-90.22365","39.627088"
"Cutler Bay or Miami,FL","-80.32983","25.579449"
"Easton,PA","-75.225665","40.746007"
"Cass City,MI","-83.293496","43.586075"
"Wister,OK","-94.72241","34.967414"
"Del Valle,TX","-97.60206","30.151068"
"Hiliiard,OH","-83.152328","40.134042"
"Caddo Mills,TX","-96.219803","33.076823"
"Slippery Rock,PA","-80.043821","41.052427"
"Story City,IA","-93.610141","42.158072"
"Dix Hills,NY","-73.771735","40.710313"
"Bedford,MA","-71.27617","42.49065"
"Liberty,TX","-93.722678","30.923254"
"Concord,GA","-84.456917","33.104729"
"Portland City,OR","-122.667403","45.569952"
"Geneva,GA","-84.55076","32.57986"
"South Glens Falls,NY","-73.629401","43.283561"
"Port Murray,NJ","-74.916","40.78565"
"Meadowlands Marshes,NJ","-74.15518","40.999641"
"Afton,MI","-84.429893","45.366479"
"Flowery Branch,GA","-83.92518","34.1851"
"Centralia,IL","-89.1334","38.52505"
"Cannon,NH","-72.011823","43.646433"
